DEPARTAMEN;DISTRITO;ZONA;DIRECCION;CODIGO_UE;UNIDAD_EDU
COCHABAMBA;SACABAMBA;CH'IARA QHOCHI;CHIARA QHOCHI;50950026;CH'IARA QHOCHI
COCHABAMBA;SAN BENITO (C. VILLA JOSE QUINTIN MENDOZA);NORTE MERCADO;CHAQUI KHOCHA;60850001;CHAQUI KHOCHA
COCHABAMBA;SAN BENITO (C. VILLA JOSE QUINTIN MENDOZA);NORTE MERCADO SAN BENITO;AL NORTE DEL MERCADO CENTRAL SAN BENITO;60850002;LAIMIÑA SULTI
COCHABAMBA;SAN BENITO (C. VILLA JOSE QUINTIN MENDOZA);LOBO RANCHO;LABO RANCHO A 3 KM. DE SUNCHUPAMPA AL ESTE;60850003;LOBO RANCHO
COCHABAMBA;SAN BENITO (C. VILLA JOSE QUINTIN MENDOZA);TOLATA CHICO;CMD. TOLATA CHICO;60850004;TOLATA CHICO
COCHABAMBA;SAN BENITO (C. VILLA JOSE QUINTIN MENDOZA);VIA RANCHO;KM. 40 CAMINO ANTIGUO COCHABAMBA SANTA CRUZ;60850005;VIA RANCHO
COCHABAMBA;SAN BENITO (C. VILLA JOSE QUINTIN MENDOZA);LAGUNA CARMEN;LAGUNA CARMEN;60850006;LAGUNA CARMEN
COCHABAMBA;SAN BENITO (C. VILLA JOSE QUINTIN MENDOZA);PARACAYA TUTI;PARACAYA TUTI;60850007;PARACAYA TUTI
COCHABAMBA;SAN BENITO (C. VILLA JOSE QUINTIN MENDOZA);TUTI PUCAYAN;TUTI PUCAYAN;60850008;TUTI PUCAYAN
COCHABAMBA;PUNATA (C. VILLA PUNATA);KIRUSILLANI;KIRUSILLANI;60850010;KIRUSILLANI
COCHABAMBA;SAN BENITO (C. VILLA JOSE QUINTIN MENDOZA);WAÑAKAHUA;WAÑAKAHUA;60850011;WAÑAKAHUA
COCHABAMBA;SAN BENITO (C. VILLA JOSE QUINTIN MENDOZA);PARACAYA LINDE;CMD. PARACAYA LINDE;60850012;EXPERIMENTAL PARACAYA
COCHABAMBA;SAN BENITO (C. VILLA JOSE QUINTIN MENDOZA);PARACAYA;KM. 42 CARRETERA ANTIGUA COCHABAMBA SANTA CRUZ;60850013;LA BELGICA
COCHABAMBA;SAN BENITO (C. VILLA JOSE QUINTIN MENDOZA);SAN LORENZO;KM. 35 CARRETERA COCHABAMBA SANTA CRUZ;608,500,146,085,002;SIMON BOLIVAR A,SIMON BOLIVAR B
COCHABAMBA;SAN BENITO (C. VILLA JOSE QUINTIN MENDOZA);SUNCHU PAMPA;SUNCHU PAMPA;608,500,166,085,002;PEDRO DOMINGO MURILLO,SUNCHU PAMPA
COCHABAMBA;SAN BENITO (C. VILLA JOSE QUINTIN MENDOZA);YANA QHOCHI;YANA QHOCHI;60850026;YANA QHOCHI
COCHABAMBA;SAN BENITO (C. VILLA JOSE QUINTIN MENDOZA);VILLA MENDOZA;SAN BENITO;608,500,186,085,002;27 DE MAYO,JOSE BRAULIO PEREIRA
COCHABAMBA;SAN BENITO (C. VILLA JOSE QUINTIN MENDOZA);VILLA MENDOZA;SAN BENITO KM. 38 CARRETERA ANTIGUA;608,500,206,085,002;PAPA JUAN B,PAPA JUAN A
COCHABAMBA;SAN BENITO (C. VILLA JOSE QUINTIN MENDOZA);HUÑA KAWA;WAÑAKAWA TUTI;60850022;WAÑAKAHUA TUTI
COCHABAMBA;SAN BENITO (C. VILLA JOSE QUINTIN MENDOZA);LAGUNA SULTI;SOBRE LA CRRETERA CLIZA - PUNATA A 2 KM. DE LA UNIDAD CENTRAL DE LA LAGUNA CARMEN AL SUD.;60850023;LAGUNA SULTI
